DateTime, Return, Max Opposite Excursion
20240912 19:20:00,17.450001,-9
20240912 20:02:00,18.450001,-6
20240913 00:59:00,22.200001,-18.75
20240913 02:45:00,14.95,-11
20240913 06:09:00,22.450001,-5.25
20240913 08:43:00,-21.049999,24.25
20240913 09:00:00,-21.299999,17
20240913 09:02:00,3.2,-55.75
20240913 09:05:00,-22.049999,7.25
20240913 09:16:00,-21.049999,13.75
20240913 09:29:00,16.950001,-11
20240913 09:38:00,2.2,-7.75
20240913 09:40:00,-21.299999,10.25
20240916 07:36:00,-21.049999,12
20240916 07:54:00,-21.299999,0.25
20240916 08:58:00,0.7,-5.75
20240916 09:03:00,-21.299999,13.5
20240916 09:09:00,5.7,-2.25
20240916 09:18:00,6.7,-2
20240917 02:43:00,-21.049999,20.5
20240917 15:00:00,89.699997,-14.25
20240918 10:46:00,-21.549999,8
20240918 11:50:00,52.700001,-6
20240918 13:01:00,-22.299999,216.5
20240918 13:12:00,30.950001,-54.75
20240918 13:17:00,-22.299999,22.25
20240918 13:44:00,-23.049999,14.25
20240918 13:45:00,-23.049999,12.75
20240918 13:46:00,-20.299999,29.25
20240918 13:51:00,-21.299999,42
20240918 14:00:00,2.2,-50.75
20240918 14:07:00,-21.799999,46.75
20240918 14:09:00,-21.799999,14.5
20240918 14:10:00,-20.299999,8.25
20240918 14:14:00,98.949997,-15.5
20240918 14:22:00,-21.799999,3.75
20240918 14:25:00,86.449997,-12.25
20240918 14:27:00,-21.049999,20.75
20240918 14:29:00,52.200001,-8.5
20240918 14:30:00,-21.049999,40.25
20240918 14:33:00,49.450001,-7.5
20240918 14:34:00,0.7,-34.25
20240918 14:45:00,-21.799999,49
20240918 14:46:00,-24.549999,19.25
20240918 14:47:00,-23.049999,28
20240918 14:48:00,-20.299999,18.75
20240918 18:54:00,-21.049999,12.5
20240918 18:57:00,-21.799999,13.5
20240920 05:55:00,-21.049999,17.5
20240920 07:05:00,34.700001,-18.75
20240920 09:00:00,-20.799999,17.5
20240920 09:48:00,-21.299999,38.5
20240920 11:10:00,1.45,-2.25
20240920 12:25:00,2.7,-4
20240920 12:28:00,5.45,-3.25
20240920 12:54:00,-0.3,5.5
20240920 12:55:00,2.2,-1.75
20240920 13:02:00,-20.549999,7
20240922 19:30:00,-21.049999,11
20240923 03:01:00,90.199997,-21
20240923 04:47:00,0.45,-2.25
20240923 06:49:00,0.95,0
20240923 06:55:00,2.45,0
20240923 07:04:00,0.45,-0.25
20240923 07:18:00,-0.05,4.75
20240923 08:02:00,-21.549999,7.75
20240923 08:30:00,4.2,-2
20240923 08:31:00,3.45,-4
20240923 08:32:00,0.2,-11.25
20240923 08:50:00,-20.299999,16.5
20240923 08:54:00,15.7,-2.5
20240923 08:57:00,7.95,-12.25
20240923 08:59:00,14.7,-6.5
20240923 09:01:00,-21.049999,27.25
20240923 09:09:00,-20.299999,9
20240923 09:13:00,16.950001,-10.25
20240923 09:20:00,-20.799999,17
20240923 09:38:00,14.2,-8.25
20240923 09:39:00,0.7,-12
20240923 09:42:00,5.95,-2
20240923 09:44:00,-20.799999,18.25
20240923 10:04:00,1.95,0
20240923 10:13:00,0.2,-2.25
20240923 11:18:00,0.2,-0.75
20240923 13:25:00,3.2,-6.25
20240923 13:50:00,-0.3,6
20240923 13:56:00,-0.3,4.75
20240923 14:25:00,-0.05,3.75
20240923 14:35:00,1.45,-5.75
20240923 14:50:00,4.7,-7.75
20240923 14:52:00,-0.05,3.75
